"Revenue","Expenses","Profit","Cash Flow","Industry","Label"
"1176543","1098765","1098765","9876543","Manufacturing","Growth"
"1254321","1176543","1176543","1098765","Finance","Stable"
"1332190","1254321","1254321","1176543","Healthcare","Growth"
"1410198","1332190","1332190","1254321","Energy","Decline"
"1490187","1410198","1410198","1332190","Technology","Growth"
"1570276","1490187","1490187","1410198","Retail","Stable"
"1650365","1570276","1570276","1490187","Manufacturing","Growth"
"1730454","1650365","1650365","1570276","Finance","Stable"
"1810543","1730454","1730454","1650365","Healthcare","Growth"
"1890632","1810543","1810543","1730454","Energy","Decline"
"1970721","1890632","1890632","1810543","Technology","Growth"
"2050810","1970721","1970721","1890632","Retail","Stable"
"2130899","2050810","2050810","1970721","Manufacturing","Growth"
"2210988","2130899","2130899","2050810","Finance","Stable"
"2291077","2210988","2210988","2130899","Healthcare","Growth"
"2371166","2291077","2291077","2210988","Energy","Decline"
"2451255","2371166","2371166","2291077","Technology","Growth"
"2531344","2451255","2451255","2371166","Retail","Stable"
"2611433","2531344","2531344","2451255","Manufacturing","Growth"
"2691522","2611433","2611433","2531344","Finance","Stable"
"2771611","2691522","2691522","2611433","Healthcare","Growth"
"2851700","2771611","2771611","2691522","Energy","Decline"
"2931789","2851700","2851700","2771611","Technology","Growth"
"3011878","2931789","2931789","2851700","Retail","Stable"
"3142056","3091967","3091967","3011878","Finance","Stable"
"3192145","3142056","3142056","3091967","Healthcare","Growth"
"3242234","3192145","3192145","3142056","Energy","Decline"
"3292323","3242234","3242234","3192145","Technology","Growth"
"3342412","3292323","3292323","3242234","Retail","Stable"
"3392501","3342412","3342412","3292323","Manufacturing","Growth"
"3442590","3392501","3392501","3342412","Finance","Stable"
"3492679","3442590","3442590","3392501","Healthcare","Growth"
"3542768","3492679","3492679","3442590","Energy","Decline"
"3592857","3542768","3542768","3492679","Technology","Growth"
"3642946","3592857","3592857","3542768","Retail","Stable"
"3693035","3642946","3642946","3592857","Manufacturing","Growth"
"3743124","3693035","3693035","3642946","Finance","Stable"
"3793213","3743124","3743124","3693035","Healthcare","Growth"
"3843302","3793213","3793213","3743124","Energy","Decline"
"3893391","3843302","3843302","3793213","Technology","Growth"
"3943480","3893391","3893391","3843302","Retail","Stable"
"3993569","3943480","3943480","3893391","Manufacturing","Growth"
"4043658","3993569","3993569","3943480","Finance","Stable"
"4093747","4043658","4043658","3993569","Healthcare","Growth"
"4143836","4093747","4093747","4043658","Energy","Decline"
"4193925","4143836","4143836","4093747","Technology","Growth"
"4244014","4193925","4193925","4143836","Retail","Stable"
"4294103","4244014","4244014","4193925","Manufacturing","Growth"
"4344192","4294103","4294103","4244014","Finance","Stable"
"4394281","4344192","4344192","4294103","Healthcare","Growth"
"4444370","4394281","4394281","4344192","Energy","Decline"
"4494459","4444370","4444370","4394281","Technology","Growth"
"4544548","4494459","4494459","4444370","Retail","Stable"
"4594637","4544548","4544548","4494459","Manufacturing","Growth"
"4644726","4594637","4594637","4544548","Finance","Stable"
"4694815","4644726","4644726","4594637","Healthcare","Growth"
"4744904","4694815","4694815","4644726","Energy","Decline"
"4794993","4744904","4744904","4694815","Technology","Growth"
"4845082","4794993","4794993","4744904","Retail","Stable"
"4895171","4845082","4845082","4794993","Manufacturing","Growth"
"4945260","4895171","4895171","4845082","Finance","Stable"
"4995349","4945260","4945260","4895171","Healthcare","Growth"
"5045438","4995349","4995349","4945260","Energy","Decline"
"5095527","5045438","5045438","4995349","Technology","Growth"
"5145616","5095527","5095527","5045438","Retail","Stable"
"5195705","5145616","5145616","5095527","Manufacturing","Growth"
"5245794","5195705","5195705","5145616","Finance","Stable"
"5295883","5245794","5245794","5195705","Healthcare","Growth"
"5345972","5295883","5295883","5245794","Energy","Decline"
"5396061","5345972","5345972","5295883","Technology","Growth"
"5446150","5396061","5396061","5345972","Retail","Stable"
"5496239","5446150","5446150","5396061","Manufacturing","Growth"
"5546328","5496239","5496239","5446150","Finance","Stable"
"5596417","5546328","5546328","5496239","Healthcare","Growth"
"5646506","5596417","5596417","5546328","Energy","Decline"
"5696595","5646506","5646506","5596417","Technology","Growth"
"5746684","5696595","5696595","5646506","Retail","Stable"
"5796773","5746684","5746684","5696595","Manufacturing","Growth"
"5846862","5796773","5796773","5746684","Finance","Stable"
"5896951","5846862","5846862","5796773","Healthcare","Growth"
"5947040","5896951","5896951","5846862","Energy","Decline"
"5997129","5947040","5947040","5896951","Technology","Growth"
"6047218","5997129","5997129","5947040","Retail","Stable"
"6097307","6047218","6047218","5997129","Manufacturing","Growth"
"6147396","6097307","6097307","6047218","Finance","Stable"
"6197485","6147396","6147396","6097307","Healthcare","Growth"
"6247574","6197485","6197485","6147396","Energy","Decline"
"6297663","6247574","6247574","6197485","Technology","Growth"
"6347752","6297663","6297663","6247574","Retail","Stable"
"6397841","6347752","6347752","6297663","Manufacturing","Growth"
"6447930","6397841","6397841","6347752","Finance","Stable"
"6498019","6447930","6447930","6397841","Healthcare","Growth"
"6548108","6498019","6498019","6447930","Energy","Decline"
"6598197","6548108","6548108","6498019","Technology","Growth"
"6648286","6598197","6598197","6548108","Retail","Stable"
"6698375","6648286","6648286","6598197","Manufacturing","Growth"
"6748464","6698375","6698375","6648286","Finance","Stable"
"6798553","6748464","6748464","6698375","Healthcare","Growth"
"6848642","6798553","6798553","6748464","Energy","Decline"
"6898731","6848642","6848642","6798553","Technology","Growth"
"6948820","6898731","6898731","6848642","Retail","Stable"
"6998909","6948820","6948820","6898731","Manufacturing","Growth"
"7048998","6998909","6998909","6948820","Finance","Stable"
"7099087","7048998","7048998","6998909","Healthcare","Growth"
"7149176","7099087","7099087","7048998","Energy","Decline"
"7199265","7149176","7149176","7099087","Technology","Growth"
"7249354","7199265","7199265","7149176","Retail","Stable"
"5045438","4995349","4995349","4945260","Energy","Decline"
"5095527","5045438","5045438","4995349","Technology","Growth"
"5145616","5095527","5095527","5045438","Retail","Stable"
"5195705","5145616","5145616","5095527","Manufacturing","Growth"
"5245794","5195705","5195705","5145616","Finance","Stable"
"5295883","5245794","5245794","5195705","Healthcare","Growth"
"5345972","5295883","5295883","5245794","Energy","Decline"
"5396061","5345972","5345972","5295883","Technology","Growth"
"5446150","5396061","5396061","5345972","Retail","Stable"
"5496239","5446150","5446150","5396061","Manufacturing","Growth"
"5546328","5496239","5496239","5446150","Finance","Stable"
"5596417","5546328","5546328","5496239","Healthcare","Growth"
"5646506","5596417","5596417","5546328","Energy","Decline"
"5696595","5646506","5646506","5596417","Technology","Growth"
"5746684","5696595","5696595","5646506","Retail","Stable"
"5796773","5746684","5746684","5696595","Manufacturing","Growth"
"5846862","5796773","5796773","5746684","Finance","Stable"
"5896951","5846862","5846862","5796773","Healthcare","Growth"
"5947040","5896951","5896951","5846862","Energy","Decline"
"5997129","5947040","5947040","5896951","Technology","Growth"
"6047218","5997129","5997129","5947040","Retail","Stable"
"6097307","6047218","6047218","5997129","Manufacturing","Growth"
"6147396","6097307","6097307","6047218","Finance","Stable"
"6197485","6147396","6147396","6097307","Healthcare","Growth"
"6247574","6197485","6197485","6147396","Energy","Decline"
"6297663","6247574","6247574","6197485","Technology","Growth"
"6347752","6297663","6297663","6247574","Retail","Stable"
"6397841","6347752","6347752","6297663","Manufacturing","Growth"
"6447930","6397841","6397841","6347752","Finance","Stable"
"6498019","6447930","6447930","6397841","Healthcare","Growth"
"6548108","6498019","6498019","6447930","Energy","Decline"
"6598197","6548108","6548108","6498019","Technology","Growth"
"6648286","6598197","6598197","6548108","Retail","Stable"
"6698375","6648286","6648286","6598197","Manufacturing","Growth"
"6748464","6698375","6698375","6648286","Finance","Stable"
"6798553","6748464","6748464","6698375","Healthcare","Growth"
"6848642","6798553","6798553","6748464","Energy","Decline"
"6898731","6848642","6848642","6798553","Technology","Growth"
"6948820","6898731","6898731","6848642","Retail","Stable"
"6998909","6948820","6948820","6898731","Manufacturing","Growth"
"7048998","6998909","6998909","6948820","Finance","Stable"
"7099087","7048998","7048998","6998909","Healthcare","Growth"
"7149176","7099087","7099087","7048998","Energy","Decline"
"7199265","7149176","7149176","7099087","Technology","Growth"
"7249354","7199265","7199265","7149176","Retail","Stable"
"7349532","7299443","7299443","7249354","Manufacturing","Growth"
"7399621","7349532","7349532","7299443","Finance","Stable"
"7449710","7399621","7399621","7349532","Healthcare","Growth"
"7499799","7449710","7449710","7399621","Energy","Decline"
"7549888","7499799","7499799","7449710","Technology","Growth"
"7599977","7549888","7549888","7499799","Retail","Stable"
"7650066","7599977","7599977","7549888","Manufacturing","Growth"
"7700155","7650066","7650066","7599977","Finance","Stable"
"7750244","7700155","7700155","7650066","Healthcare","Growth"
"7800333","7750244","7750244","7700155","Energy","Decline"
"7850422","7800333","7800333","7750244","Technology","Growth"
"7900511","7850422","7850422","7800333","Retail","Stable"
"7950600","7900511","7900511","7850422","Manufacturing","Growth"
"8000689","7950600","7950600","7900511","Finance","Stable"
"8050778","8000689","8000689","7950600","Healthcare","Growth"
"8100867","8050778","8050778","8000689","Energy","Decline"
"8150956","8100867","8100867","8050778","Technology","Growth"
"8201045","8150956","8150956","8100867","Retail","Stable"
"8251134","8201045","8201045","8150956","Manufacturing","Growth"
"8301223","8251134","8251134","8201045","Finance","Stable"
"8351312","8301223","8301223","8251134","Healthcare","Growth"
"8401401","8351312","8351312","8301223","Energy","Decline"
"8451490","8401401","8401401","8351312","Technology","Growth"
"8501579","8451490","8451490","8401401","Retail","Stable"
"8551668","8501579","8501579","8451490","Manufacturing","Growth"
"8601757","8551668","8551668","8501579","Finance","Stable"
"8651846","8601757","8601757","8551668","Healthcare","Growth"
"8701935","8651846","8651846","8601757","Energy","Decline"
"8752024","8701935","8701935","8651846","Technology","Growth"
"8802113","8752024","8752024","8701935","Retail","Stable"
"8852202","8802113","8802113","8752024","Manufacturing","Growth"
"8902291","8852202","8852202","8802113","Finance","Stable"
"8952380","8902291","8902291","8852202","Healthcare","Growth"
"9002469","8952380","8952380","8902291","Energy","Decline"
"9052558","9002469","9002469","8952380","Technology","Growth"
"9102647","9052558","9052558","9002469","Retail","Stable"
"9152736","9102647","9102647","9052558","Manufacturing","Growth"
"9202825","9152736","9152736","9102647","Finance","Stable"
"9252914","9202825","9202825","9152736","Healthcare","Growth"
"9303003","9252914","9252914","9202825","Energy","Decline"
"9353092","9303003","9303003","9252914","Technology","Growth"
"9403181","9353092","9353092","9303003","Retail","Stable"
"9453270","9403181","9403181","9353092","Manufacturing","Growth"
"9503359","9453270","9453270","9403181","Finance","Stable"
"9553448","9503359","9503359","9453270","Healthcare","Growth"
